I'm 19.	J'ai 19 ans.
You're dirty.	Vous êtes sale.
You're dirty.	Vous êtes sales.
You're drunk.	Tu es saoul.
You're drunk.	Tu es saoule.
You're drunk.	Vous êtes saouls.
You're drunk.	Vous êtes saoules.
You're drunk.	Vous êtes saoul.
You're drunk.	Vous êtes saoule.
You're early.	Tu viens tôt.
You're early.	Vous êtes matinal.
You're early.	Vous êtes matinale.
You're early.	Tu es matinal.
You're early.	Tu es matinale.
You're early.	Tu es en avance.
You're early.	Vous êtes en avance.
You're fired.	Tu es viré.
You're fired.	Tu es licencié.
You're first.	Tu es en premier.
You're first.	Tu passes en premier.
You're first.	Vous êtes en premier.
You're funny.	T'es marrante.
You're funny.	T'es marrant.
You're funny.	Vous êtes marrants.
You're funny.	Vous êtes marrantes.
You're funny.	Vous êtes marrant.
You're funny.	Vous êtes marrante.
You're fussy.	Tu es difficile.
You're fussy.	Tu fais des manières.
You're fussy.	Vous faites des manières.
You're gross!	Tu es malpoli !
You're lying!	Tu mens !
You're lying!	Vous mentez !
You're lying.	Vous mentez.
You're moody.	Tu es lunatique.
You're naive.	Tu es naïf.
You're naive.	Tu es naïve.
You're naive.	Vous êtes naïf.
You're naive.	Vous êtes naïve.
You're naive.	Vous êtes naïfs.
You're naive.	Vous êtes naïves.
You're quiet.	Tu es calme.
You're quiet.	Tu es tranquille.
You're right.	Tu as raison.
You're silly.	Tu es idiot.
You're silly.	Vous êtes idiot.
You're silly.	Vous êtes idiote.
You're silly.	Tu es idiote.
You're silly.	Vous êtes idiots.
You're silly.	Vous êtes idiotes.
You're stuck.	T'es planté.
You're stuck.	T'es plantée.
You're stuck.	Vous êtes plantés.
You're stuck.	Vous êtes plantées.
You're stuck.	Vous êtes plantée.
You're stuck.	Vous êtes planté.
You're tough.	Tu es dure.
You're tough.	Tu es dur.
You're tough.	Vous êtes dur.
You're tough.	Vous êtes dure.
You're tough.	Vous êtes durs.
You're tough.	Vous êtes dures.
You're upset.	Tu es contrariée.
You're upset.	Tu es contrarié.
You're weird.	Tu es bizarre.
You're weird.	Vous êtes bizarre.
You're weird.	Vous êtes bizarres.
You're wrong.	Tu es dans l'erreur.
You're wrong.	Tu as tort.
You're young.	Tu es jeune.
You're young.	Vous êtes jeune.
You're young.	Vous êtes jeunes.
He is British.	Il est Britannique.
He is English.	Il est Anglais.
He is a thief.	C'est un voleur.
He is awesome.	Il est génial.
He is foolish.	Il est idiot.
He is my boss.	C'est mon patron.
He is my type!	Il est mon genre !
He is no fool.	Il n'est pas idiot.
He is no fool.	Il n'est pas fou.
He is out now.	Il est actuellement sorti.
He is reading.	Il lit.
He is reading.	Il est en train de lire.
He is running.	Il court.
He is skating.	Il fait du patin.
He is skating.	Il patine.
He is too old.	Il est trop vieux.
He's a grouch.	C'est un rouspéteur.
He's a jesuit.	Il est jésuite.
He's a senior.	C'est un aîné.
He's a senior.	C'est un ancien.
He's a senior.	C'est un retraité.
He's a tycoon.	C'est un magnat.
He's addicted.	Il est accro.
He's addicted.	Il a une assuétude.
He's addicted.	Il est drogué.
He's adorable.	Il est adorable.
He's after me.	Il est derrière moi.
He's after me.	Il est après moi.
He's after me.	Il est après mes fesses.
He's after me.	Il me poursuit.
He's annoying.	Il est embêtant.
He's demented.	Il est fou.
He's in Tokyo.	Il est à Tokyo.
He's innocent.	Il est innocent.
He's innocent.	Il est ingénu.
He's insecure.	Il est peu sûr de lui.
He's insecure.	Il manque de confiance en lui.
He's no saint.	Il n'est pas un saint.
He's no saint.	Ce n'est pas un saint.
He's not home.	Il n'est pas à la maison.
He's not sick.	Il n'est pas malade.
He's outraged.	Il est indigné.
He's ruthless.	Il est impitoyable.
He's ruthless.	Il est sans pitié.
He's so young.	Il est si jeune.
He's so young.	Il est tellement jeune.
He's studying.	Il étudie.
He's studying.	Il est en train d'étudier.
He's too busy.	Il est trop occupé.
He's too slow.	Il est trop lent.
He's very ill.	Il est très malade.
He's very ill.	Il est fort malade.
He's your son.	Il est ton fils.
He's your son.	C'est ton fils.
He's your son.	C'est votre fils.
He's your son.	Il est votre fils.
I am American.	Je suis américain.
I am American.	Je suis américaine.
I am Japanese.	Je suis Japonais.
I am a Muslim.	Je suis musulman.
I am a Muslim.	Je suis musulmane.
I am a Muslim.	Je suis Musulman.
I am a runner.	Je suis un coureur.
I am all ears.	Je suis tout ouïe.
I am diabetic.	Je suis diabétique.
I am divorced.	Je suis divorcé.
I am divorced.	Je suis divorcée.
I am in Paris.	Je suis à Paris.
I am new here.	Je suis nouveau ici.
I am new here.	Je suis nouveau, ici.
I am not deaf.	Je ne suis pas sourd.
I am so sorry.	Je suis tellement désolé !
I am so sorry.	Je suis tellement désolée !
I am very sad.	Je suis très triste.
I'm a patient.	Je suis un patient.
I'm a patient.	Je suis une patiente.
I'm a student.	Je suis étudiant.
I'm a teacher.	Je suis professeur.
I'm a teacher.	Je suis enseignante.
I'm a tourist.	Je suis touriste.
I'm a tourist.	Je suis un touriste.
I'm adaptable.	Je m'adapte.
I'm afraid so.	J'en ai peur.
I'm all alone.	Je suis tout seul.
I'm all right.	Je vais bien.
I'm all yours.	Je suis tout à toi.
I'm all yours.	Je suis tout à vous.
I'm all yours.	Je suis toute à toi.
I'm all yours.	Je suis toute à vous.
I'm ambitious.	Je suis ambitieuse.
I'm ambitious.	Je suis ambitieux.
I'm an artist.	Je suis un artiste.
I'm an artist.	Je suis une artiste.
I'm an orphan.	Je suis orphelin.
I'm attentive.	Je suis attentive.
I'm attentive.	Je suis attentif.
I'm available.	Je suis disponible.
I'm beautiful.	Je suis belle.
I'm beautiful.	Je suis beau.
I'm busy, too.	Je suis également affairé.
I'm busy, too.	Je suis également affairée.
I'm busy, too.	Je suis également occupé.
I'm busy, too.	Je suis également occupée.
I'm concerned.	Je suis préoccupé.
I'm concerned.	Je suis préoccupée.
I'm confident.	J'ai confiance.
I'm contented.	Me voilà satisfait.
I'm contented.	Me voilà satisfaite.
I'm convinced.	J'en suis convaincu.
I'm delighted.	Je suis ravi(e).
I'm depressed.	Je suis déprimé.
I'm desperate.	Je suis désespéré.
I'm desperate.	Je suis désespérée.
I'm different.	Je suis différente.
I'm disgusted.	Je suis dégoûté.
I'm disgusted.	Je suis dégoûtée.
I'm easygoing.	Je suis facile à vivre.
I'm exhausted.	Je suis épuisée.
I'm exhausted.	Je suis épuisé.
I'm exhausted.	Je suis vanné.
I'm exhausted.	Je suis vannée.
I'm exhausted.	Je suis fourbu.
I'm exhausted.	Je suis crevé.
I'm exhausted.	Je suis crevée.
I'm forgetful.	Je suis distrait.
I'm forgetful.	Je suis distraite.
I'm forgetful.	Je suis étourdi.
I'm forgetful.	Je suis étourdie.
I'm home, Tom.	Je suis chez moi, Tom.
I'm hung over.	J'ai mal au cœur.
I'm impatient.	Je suis impatient.
I'm impatient.	Je suis impatiente.
I'm important.	Je suis important.
I'm impressed.	Je suis impressionnée.
I'm impulsive.	Je suis impulsif.
I'm impulsive.	Je suis impulsive.
I'm in Boston.	Je suis à Boston.
I'm in danger.	Je suis en danger.
I'm intrigued.	Je suis intrigué.
I'm intrigued.	Je suis intriguée.
I'm intrigued.	Cela m'intrigue.
I'm just lazy.	Je suis juste paresseux.
I'm just lazy.	Je suis juste paresseuse.
I'm listening.	J'écoute.
I'm motivated.	Je suis motivée.
I'm motivated.	Je suis motivé.
I'm no expert.	Je ne suis pas un expert.
I'm not a cop.	Je ne suis pas flic.
I'm not a fan.	Je ne fais pas partie de ses admirateurs.
I'm not a fan.	Je ne fais pas partie de leurs admirateurs.
I'm not alone.	Je ne suis pas seul.
I'm not alone.	Je ne suis pas seule.
I'm not angry!	Je ne suis pas en colère !
I'm not angry.	Je ne suis pas en colère.
I'm not armed.	Je ne suis pas armé.
I'm not armed.	Je ne suis pas armée.
I'm not blind.	Je ne suis pas aveugle.
I'm not crazy.	Je ne suis pas fou.
I'm not crazy.	Je ne suis pas folle.
I'm not dying.	Je ne suis pas en train de mourir.
I'm not going.	Je n'y vais pas.
I'm not going.	Je ne m'y rends pas.
I'm not going.	Je ne m'en vais pas.
I'm not happy.	Je ne suis pas content.
I'm not happy.	Je ne suis pas heureux.
I'm not happy.	Je ne suis pas heureuse.
I'm not happy.	Je ne suis pas contente.
I'm not lying.	Je ne suis pas en train de mentir.
I'm not naive.	Je ne suis pas naïf.
I'm not naive.	Je ne suis pas naïve.
I'm not obese.	Je ne suis pas obèse.
I'm not ready.	Je ne suis pas prêt.
I'm not ready.	Je ne suis pas prête.
I'm not short.	Je ne suis pas petite.
I'm not tired.	Je ne suis pas fatigué.
I'm not tired.	Je ne suis pas fatiguée.
I'm not weird.	Je ne suis pas bizarre.
I'm not young.	Je ne suis pas jeune.
I'm observant.	Je suis observateur.
I'm observant.	Je suis observatrice.
I'm observant.	Je suis respectueux.
I'm observant.	Je suis respectueuse.
I'm on a diet.	Je suis au régime.
I'm on my way.	Je suis en chemin.
I'm on my way.	Je suis en route.
I'm on parole.	Je suis en liberté conditionnelle.
I'm on strike.	Je suis en grève.
I'm plastered.	Je suis bourré.
I'm powerless.	Je suis désarmé.
I'm powerless.	Je suis désarmée.
I'm realistic.	Je suis réaliste.
I'm resentful.	J'éprouve du ressentiment.
I'm resilient.	Je suis endurant.
I'm resilient.	Je suis endurante.
I'm resilient.	Je suis tenace.
I'm satisfied.	Je suis satisfait.
I'm saying no.	Je dis non.
I'm sensitive.	Je suis sensible.
I'm so hungry.	J'ai tellement faim.
I'm so lonely.	Je suis si seul.
I'm so lonely.	Je suis si seule.
I'm so stupid.	Je suis tellement idiot.
I'm surprised.	Je suis surpris.
I'm surprised.	Je suis surprise.
I'm surviving.	Je survis.
I'm terrified.	Je suis terrifié.
I'm terrified.	Je suis terrifiée.
I'm tired now.	Je suis fatigué maintenant.
I'm too drunk.	Je suis trop saoul.
I'm uninsured.	Je ne suis pas assuré.
I'm uninsured.	Je ne suis pas assurée.
I'm unmarried.	Je suis célibataire.
I'm very cold.	J'ai très froid.
I'm very lazy.	Je suis très paresseux.
I'm very poor.	Je suis très pauvre.
I'm voting no.	Je vote non.
I'm your boss.	Je suis votre chef.
I'm your boss.	Je suis ton chef.
She is French.	Elle est française.
She is French.	Elle est Française.
She is a twin.	C'est une jumelle.
She is a twin.	Elle est jumelle.
She is active.	Elle est active.
She is crying.	Elle pleure.
She is crying.	Elle est en train de pleurer.
She is gentle.	Elle est gentille.
She is strong.	Elle est forte.
She seems sad.	Elle a l'air triste.
She's a cutie.	C'est une beauté.
She's a model.	C'est un mannequin.
She's a model.	Elle est mannequin.
She's awesome.	Elle est super.
She's dieting.	Elle fait un régime.
She's my type.	Elle est mon genre.
They are here.	Ils sont là.
They're Asian.	Ils sont asiatiques.
They're Asian.	Elles sont asiatiques.
They're alive.	Ils sont en vie.
They're angry.	Ils sont en colère.
They're angry.	Elles sont en colère.
They're armed.	Ils sont armés.
They're armed.	Elles sont armées.
They're awake.	Ils sont éveillés.
They're awake.	Elles sont éveillées.
They're brave.	Ils sont courageux.
They're brave.	Elles sont courageuses.
They're brave.	Ils n'ont pas froid aux yeux.
They're broke.	Ils sont fauchés.
They're broke.	Elles sont fauchées.
They're clean.	Ils sont propres.
They're clean.	Elles sont propres.
They're crazy.	Ils sont fous.
They're crazy.	Elles sont folles.
They're drunk.	Ils sont saouls.
They're drunk.	Elles sont saoules.
They're dying.	Ils sont en train de mourir.
They're dying.	Elles sont en train de mourir.
They're early.	Ils sont en avance.
They're early.	Elles sont en avance.
They're happy.	Elles sont heureuses.
They're lying.	Ils mentent.
They're lying.	Elles mentent.
They're small.	Ils sont petits.
They're small.	Elles sont petites.
They're spies.	Ce sont des espions.
They're spies.	Ce sont des espionnes.
They're there.	Ils sont là.
They're tired.	Ils sont fatigués.
They're tired.	Elles sont fatiguées.
They're twins.	Ils sont jumeaux.
They're twins.	Elles sont jumelles.
They're weird.	Ils sont bizarres.
They're wrong.	Ils ont tort !
We are at war.	Nous sommes en guerre.
We are doomed.	Nous sommes condamnés.
We're a group.	Nous formons un groupe.
We're anxious.	Nous sommes anxieux.
We're ashamed.	Nous avons honte.
We're baffled.	Nous sommes perplexes.
We're careful.	Nous sommes prudents.
We're careful.	Nous sommes prudentes.
We're certain.	Nous sommes certains.
We're certain.	Nous sommes certaines.
We're cousins.	Nous sommes cousines.
We're dancing.	Nous sommes en train de danser.
We're dieting.	Nous sommes au régime.
We're doctors.	Nous sommes médecins.
We're enemies.	Nous sommes ennemis.
We're enemies.	Nous sommes ennemies.
We're engaged.	Nous sommes fiancés.
We're fasting.	Nous faisons la diète.
We're friends.	Nous sommes amis.
We're friends.	Nous sommes amies.
We're in love.	Nous nous aimons.
We're in love.	Nous sommes amoureux.
We're in love.	Nous sommes amoureuses.
We're in luck.	Nous sommes veinards.
We're in luck.	Nous sommes veinardes.
We're in pain.	Nous souffrons.
We're in sync.	Nous sommes synchronisés.
We're in sync.	Nous sommes synchronisées.
We're in town.	Nous sommes en ville.
We're jealous.	Nous sommes jalouses.
We're kidding.	Nous plaisantons.
We're leaving.	Nous partons.
We're married.	Nous sommes mariés.
We're not fit.	Nous ne sommes pas en forme.
We're not mad.	Nous ne sommes pas fous.
We're not mad.	Nous ne sommes pas folles.
We're not old.	Nous ne sommes pas vieux.
We're not old.	Nous ne sommes pas vieilles.
We're reading.	Nous sommes en train de lire.
We're reading.	Nous lisons.
We're relaxed.	Nous sommes détendus.
We're relaxed.	Nous sommes détendues.
We're serious.	Nous sommes sérieux.
We're serious.	Nous sommes sérieuses.
We're shocked.	Nous sommes choqués.
We're shocked.	Nous sommes choquées.
We're sincere.	Nous sommes sincères.
We're sinking.	Nous coulons.
We're sinking.	Nous sommes en train de couler.
We're sloshed.	Nous sommes bourrés.
We're sloshed.	Nous sommes bourrées.
We're smashed.	Nous sommes bourrés.
We're smashed.	Nous sommes bourrées.
We're special.	Nous sommes spéciaux.
We're stalled.	Nous sommes à l'arrêt.
We're starved.	Nous sommes affamés.
We're starved.	Nous sommes affamées.
We're staying.	Nous restons.
We're stuffed.	Nous sommes gavés.
We're stuffed.	Nous sommes gavées.
We're stunned.	Nous sommes sidérés.
We're stunned.	Nous sommes sidérées.
We're through.	Nous avons terminé.
We're through.	Nous en avons fini.
We're too old.	Nous sommes trop vieux.
We're touched.	Nous sommes touchés.
We're touched.	Nous sommes touchées.
We're trapped!	Nous sommes piégés !
We're trapped!	Nous sommes piégées !
We're trapped.	Nous sommes piégés.
We're trapped.	Nous sommes piégées.
We're unhappy.	Nous ne sommes pas satisfaits.
We're unhappy.	Nous ne sommes pas satisfaites.
We're unlucky.	Nous sommes malchanceux.
We're unlucky.	Nous sommes malchanceuses.
We're useless.	Nous sommes inutiles.
We're waiting.	Nous sommes en train d'attendre.
We're wealthy.	Nous sommes riches.
We're winners.	Nous sommes des gagneurs.
We're winning.	Nous sommes en train de gagner.
We're working.	Nous sommes en train de travailler.
We're worried.	Nous nous faisons du souci.
You are crazy.	Tu es fou.
You are crazy.	Tu es cinglé.
You are drunk!	Tu es bourré !
You are drunk!	Tu es saoul !
You are early.	Tu viens tôt.
You are early.	Vous êtes matinal.
You are early.	Vous êtes matinale.
You are early.	Tu es matinal.
You are early.	Tu es matinale.
You are early.	Tu es en avance.
You are early.	Vous êtes en avance.
You are lying.	Vous mentez.
You are lying.	Vous êtes en train de mentir.
You are lying.	Tu es en train de mentir.
You are sharp.	Tu es malin.
You are wrong.	Vous avez tort.
You are wrong.	Tu as tort.
You're a doll!	Tu es un amour !
You're a doll!	Vous êtes un amour !
You're a liar.	Tu es un menteur.
You're a liar.	Vous êtes un menteur.
You're a liar.	Vous êtes une menteuse.
You're a liar.	Tu es une menteuse.
You're a nerd.	Tu es un binoclard.
You're a slob.	Tu es un flemmard.
You're a snob.	Tu es snob.
You're a snob.	Vous êtes snob.
You're biased.	Tu es partiale.
You're biased.	Tu es partial.
You're boring.	Vous m'ennuyez.
You're boring.	Tu m'ennuies.
You're bright.	Tu es brillant.
You're bright.	Tu es brillante.
You're bright.	Vous êtes brillant.
You're bright.	Vous êtes brillante.
You're bright.	Vous êtes brillants.
You're bright.	Vous êtes brillantes.
You're clever.	Tu es malin.
You're clever.	Tu es maline.
You're clever.	Vous êtes malin.
You're clever.	Vous êtes maline.
You're clever.	Vous êtes malins.
You're clever.	Vous êtes malines.
You're crafty.	Vous êtes rusé.
You're crafty.	Tu es rusé.
You're crafty.	Tu es rusée.
You're crafty.	Vous êtes rusés.
You're crafty.	Vous êtes rusée.
You're crafty.	Vous êtes rusées.
You're crafty.	Tu es astucieux.
You're crafty.	Tu es astucieuse.
You're crafty.	Vous êtes astucieux.
You're crafty.	Vous êtes astucieuse.
You're creepy.	Tu es sinistre.
You're creepy.	Vous êtes sinistre.
You're creepy.	Vous êtes sinistres.
You're famous.	Tu es connu.
You're famous.	Tu es connue.
You're famous.	Vous êtes connu.
You're famous.	Vous êtes connus.
You're famous.	Vous êtes connue.
You're famous.	Vous êtes connues.
You're greedy.	Tu es avide.
You're greedy.	Vous êtes avide.
You're greedy.	Vous êtes avides.
You're grumpy.	Tu es bougon.
You're grumpy.	Tu es bougonne.
You're grumpy.	Tu es grognon.
You're grumpy.	Vous êtes bougon.
You're grumpy.	Vous êtes bougonne.
You're grumpy.	Vous êtes grognon.
You're insane.	Tu es cinglé.
You're insane.	Tu es dingue.
You're joking!	Tu plaisantes !
You're joking!	Vous plaisantez !
You're loaded.	T'es bourré.
You're loaded.	T'es bourrée.
You're loaded.	T'es plein de fric.
You're loaded.	T'es pleine de fric.
You're losing.	Tu es en train de perdre.
You're losing.	Vous êtes en train de perdre.
You're no fun.	Tu n'es pas drôle.
You're no fun.	Vous n'êtes pas drôle.
You're pretty.	Tu es jolie.
You're pretty.	Vous êtes jolie.
You're single.	Tu es célibataire.
You're single.	Vous êtes célibataire.
You're skinny.	Tu es maigrichonne.
You're skinny.	Vous êtes maigrichonne.
You're skinny.	Vous êtes maigrichonnes.
You're skinny.	Vous êtes maigrichon.
You're skinny.	Vous êtes maigrichons.
You're skinny.	Tu es maigrichon.
You're sleepy.	Tu es endormi.
You're sleepy.	Tu es endormie.
You're sleepy.	Vous êtes endormi.
You're sleepy.	Vous êtes endormis.
You're sleepy.	Vous êtes endormie.
You're sleepy.	Vous êtes endormies.
You're sneaky.	Tu es sournois.
You're sneaky.	Tu es sournoise.
You're sneaky.	Vous êtes sournois.
You're sneaky.	Vous êtes sournoise.
You're sneaky.	Vous êtes sournoises.
You're stupid.	Tu es idiote.
You're unfair.	Tu es injuste.
He is American.	Il est Américain.
He is Canadian.	Il est canadien.
He is Japanese.	Il est japonais.
He is a doctor.	Il est médecin.
He is a genius.	C'est un génie.
He is a writer.	Il est écrivain.
He is an actor.	C'est un acteur.
He is bankrupt.	Il est en faillite.
He is in Tokyo.	Il est à Tokyo.
